Date,Price,Open,High,Low,Vol,Change %
2/11/2022,"52,700","52,800","53,200","52,700",12.60K,-0.57%
2/10/2022,"53,000","53,300","53,400","52,000",2.30K,0.00%
2/9/2022,"53,000","53,300","53,900","52,600",18.40K,0.00%
2/8/2022,"53,000","53,300","53,900","52,000",40.51K,-1.49%
2/7/2022,"53,800","52,800","53,900","52,500",13.52K,1.89%
1/28/2022,"52,800","52,000","53,500","51,600",13.60K,0.96%
1/27/2022,"52,300","50,500","53,000","50,400",59.00K,3.56%
1/26/2022,"50,500","50,300","50,500","50,200",4.20K,0.40%
1/25/2022,"50,300","50,300","50,300","49,500",8.42K,0.00%
1/24/2022,"50,300","50,000","50,300","49,500",13.70K,0.00%
1/21/2022,"50,300","50,000","50,500","49,700",15.55K,0.00%
1/20/2022,"50,300","50,500","50,500","49,500",0.70K,1.00%
1/19/2022,"49,800","50,500","50,500","49,500",4.00K,-0.99%
1/18/2022,"50,300","50,300","50,300","49,000",3.10K,-0.98%
1/17/2022,"50,800","50,500","50,800","50,200",14.30K,0.99%
